,ms_id,text
0,3000000001,"Yes, I have a lot of furniture and a lot of books."
1,3000000002,"After that, I couldn't find the strange man again."
2,3000000003,"So, I can bring a couch and a washing machine."
3,3000000004,People come to celebrate and not to eat.
4,3000000005,I did not think about that.
5,3000000006,"No, I don't like that, because sometimes I'm not at home."
6,3000000007,We got into the apartment building.
7,3000000008,The kitchen is very small.
8,3000000009,She had used this perfume before.
9,3000000010,She asked me to run to the mail room and grab the mail.
10,3000000011,What more can I say?
11,3000000012,I have to buy sunscreen.
12,3000000013,Is Lena still friends with her?
13,3000000014,"Yes, the price is too expensive."
14,3000000015,What do we need a console for?
15,3000000016,You say that you are going to help me.
16,3000000017,We need a hiding place.
17,3000000018,"Yes, they are also available in black and yellow."
18,3000000019,When will you pack your suitcase?
19,3000000020,You are all so serious.
20,3000000021,Where do you live?
21,3000000022,It was covered with green buds.
22,3000000023,I've never been there.
23,3000000024,I can't change it anymore.
24,3000000025,How was your trip last week?
25,3000000026,"No, my dog does not bite."
26,3000000027,I don’t know what that dream is that you have.
27,3000000028,I think your suggestion is great.
28,3000000029,You are a really creative person.
29,3000000030,The only thing I could find was one single envelope.
30,3000000031,Is there anything left to discuss?
31,3000000032,"So, I still have five pots and a kettle."
32,3000000033,I want to go there too.
33,3000000034,You should find some shelter from the cold night.
34,3000000035,I have to clean and then cook food.
35,3000000036,"I spent more than I thought I would, cooking this meal."
36,3000000037,Why don’t you bring it in?
37,3000000038,Are you taking your pets with you?
38,3000000039,"Two hours later, he didn’t come back."
39,3000000040,I'll bring the sofa and a coffee table.
40,3000000041,I was shocked by how she was able to jump so high.
41,3000000042,Because my pot is too small.
42,3000000043,"The apartment has three rooms, the house would be enough for us."
43,3000000044,"Yes, should I get the cleaning products?"
44,3000000045,I think we do not need a microwave.
45,3000000046,Then he probably had an important conversation.
46,3000000047,Tell me what you want to see in New York.
47,3000000048,I thought about celebrating it on a boat.
48,3000000049,I did a lot of research and my dad worked there as well.
49,3000000050,But I want to fly in the morning.
50,3000000051,It’s very cold up north.
51,3000000052,I wish I knew how to ride a bike.
52,3000000053,"No, our neighbors would not agree with that."
53,3000000054,"No, of course I don't have a bike."
54,3000000055,"In my opinion, we also need black cutlery."
